Название,Тип,Количество,Длительность,Статус,Возростной рейтинг,Реитинг,Оценивают,Рецензий,Комментариев
Стальной алхимик: Братство, TV Сериал, 64, 24 мин, 1, R-17, 9.1, Великолепно, 171, 5628
Врата Штейна, TV Сериал, 24, 24 мин, 1, PG-13, 9.08, Великолепно, 259, 6452
Блич: Тысячелетняя кровавая война, TV Сериал, 13, 24 мин, 1, R-17, 9.07, Великолепно, 28, 11135
Атака титанов: Финал — Заключительная глава, Спешл, 1, 1 час 1 мин, 0, R-17, 9.06, Великолепно, 14, 4671
Гинтама 4, TV Сериал, 51, 24 мин, 1, PG-13, 9.07, Великолепно, 19, 1195
Госпожа Кагуя: в любви как на войне 3, TV Сериал, 13, 23 мин, 1, PG-13, 9.06, Великолепно, 61, 4940
Атака титанов 3. Часть 2, TV Сериал, 10, 23 мин, 1, R-17, 9.06, Великолепно, 54, 2977
Гинтама: Финал, Фильм, 1, 1 час 44 мин, 1, PG-13, 9.05, Великолепно, 9, 526
Гинтама 2, TV Сериал, 51, 24 мин, 1, PG-13, 9.04, Великолепно, 10, 121
Охотник х Охотник (2011), TV Сериал, 148, 23 мин, 1, PG-13, 9.04, Великолепно, 188, 11531
Ребёнок идола, TV Сериал, 6, , 0, PG-13, 9.03, Великолепно, 6, 8026
Гинтама 3, TV Сериал, 13, 24 мин, 1, PG-13, 9.03, Великолепно, 10, 85
Легенда о героях Галактики, OVA, 110, 26 мин, 1, R+, 9.02, Великолепно, 53, 2158
Корзинка фруктов: Финал, TV Сериал, 13, 23 мин, 1, PG-13, 9.0, Великолепно, 29, 637
Гинтама 5, TV Сериал, 12, 24 мин, 1, PG-13, 8.99, Отлично, 18, 490
Мартовский лев 2, TV Сериал, 22, 25 мин, 1, PG-13, 8.94, Отлично, 26, 335
Гинтама, TV Сериал, 201, 24 мин, 1, PG-13, 8.94, Отлично, 93, 1817
Форма голоса, Фильм, 1, 2 часа 10 мин, 1, PG-13, 8.94, Отлично, 365, 2289
Кланнад: Продолжение истории, TV Сериал, 24, 24 мин, 1, PG-13, 8.93, Отлично, 111, 2059
Гинтама: Финальная арка — Ёродзуя навсегда!, Фильм, 1, 1 час 50 мин, 1, PG-13, 8.92, Отлично, 13, 158
Код Гиас: Восставший Лелуш 2, TV Сериал, 25, 24 мин, 1, R-17, 8.91, Отлично, 102, 1303
Вайолет Эвергарден. Фильм, Фильм, 1, 2 часа 20 мин, 1, PG-13, 8.9, Отлично, 69, 697
История финала 2, TV Сериал, 7, 22 мин, 1, R-17, 8.88, Отлично, 34, 901
Гинтама 8, TV Сериал, 14, 24 мин, 1, PG-13, 8.88, Отлично, 18, 311
Монстр, TV Сериал, 74, 24 мин, 1, R+, 8.86, Отлично, 107, 2260
Твоё имя, Фильм, 1, 1 час 46 мин, 1, PG-13, 8.85, Отлично, 313, 2723
Гинтама 7, TV Сериал, 12, 24 мин, 1, PG-13, 8.81, Отлично, 17, 269
Царство 3, TV Сериал, 26, 25 мин, 1, R-17, 8.81, Отлично, 2, 485
Моб Психо 100 2, TV Сериал, 13, 24 мин, 1, PG-13, 8.8, Отлично, 89, 832
Атака титанов: Финал, TV Сериал, 16, 23 мин, 1, R-17, 8.8, Отлично, 69, 15364
Истории ран. Часть 3: Холодная кровь, Фильм, 1, 1 час 23 мин, 1, R-17, 8.79, Отлично, 34, 527
Унесённые призраками, Фильм, 1, 2 часа 4 мин, 1, PG, 8.78, Отлично, 70, 564
Волейбол!! 3, TV Сериал, 10, 24 мин, 1, PG-13, 8.78, Отлично, 36, 411
Цикл историй: Второй сезон, TV Сериал, 26, 25 мин, 1, R-17, 8.77, Отлично, 26, 1742
Первый шаг, TV Сериал, 75, 23 мин, 1, PG-13, 8.76, Отлично, 27, 422
Ковбой Бибоп, TV Сериал, 26, 24 мин, 1, R+, 8.75, Отлично, 138, 1015
Агент времени, ONA, 11, 23 мин, 1, PG-13, 8.74, Отлично, 64, 965
Сёва-Гэнроку: Двойное самоубийство по ракуго 2, TV Сериал, 12, 24 мин, 1, PG-13, 8.73, Отлично, 25, 179
Завтрашний Джо 2, TV Сериал, 47, 24 мин, 1, PG-13, 8.72, Отлично, 12, 169
Восемьдесят шесть. Часть 2, TV Сериал, 12, 23 мин, 1, R-17, 8.71, Отлично, 47, 2115
Бродяга Кэнсин: Воспоминания, OVA, 4, 29 мин, 1, R-17, 8.71, Отлично, 20, 148
Код Гиас: Восставший Лелуш, TV Сериал, 25, 24 мин, 1, R+, 8.7, Отлично, 103, 1819
Сага о Винланде 2, TV Сериал, 19, 25 мин, 0, R-17, 8.7, Отлично, 7, 2804
Крутой учитель Онидзука, TV Сериал, 43, 25 мин, 1, R-17, 8.69, Отлично, 112, 705
Случайное такси, TV Сериал, 13, 23 мин, 1, PG-13, 8.69, Отлично, 47, 882
Ван-Пис, TV Сериал, 1062, 24 мин, 0, PG-13, 8.69, Отлично, 96, 14351
Судьба/Ночь схватки: Прикосновение небес 3, Фильм, 1, 2 часа 2 мин, 1, R-17, 8.68, Отлично, 25, 2492
Принцесса Мононоке, Фильм, 1, 2 часа 13 мин, 1, PG-13, 8.67, Отлично, 48, 207
Вайолет Эвергарден, TV Сериал, 13, 24 мин, 1, PG-13, 8.67, Отлично, 268, 3048
Первый шаг: Новый вызов, TV Сериал, 26, 23 мин, 1, PG-13, 8.66, Отлично, 5, 36
Созданный в Бездне, TV Сериал, 13, 25 мин, 1, R-17, 8.66, Отлично, 199, 1394
Магическая битва, TV Сериал, 24, 23 мин, 1, R-17, 8.64, Отлично, 115, 7839
Волейбол!! 2, TV Сериал, 25, 24 мин, 1, PG-13, 8.63, Отлично, 27, 409
Клинок рассекающий демонов: Деревня кузнецов, TV Сериал, 7, 26 мин, 0, R-17, 8.63, Отлично, 2, 3452
Гуррен-Лаганн пронзающий небеса, TV Сериал, 27, 24 мин, 1, PG-13, 8.63, Отлично, 168, 1811
Созданный в Бездне: Рассвет глубокой души, Фильм, 1, 1 час 45 мин, 1, R-17, 8.63, Отлично, 39, 569
Тетрадь дружбы Нацумэ 6, TV Сериал, 11, 23 мин, 1, PG-13, 8.62, Отлично, 8, 319
Атака титанов 3, TV Сериал, 12, 23 мин, 1, R-17, 8.62, Отлично, 47, 4192
Евангелион 3.0+1.01: Как-то раз, Фильм, 1, 2 часа 35 мин, 1, PG-13, 8.61, Отлично, 72, 2607
Исчезновение Харухи Судзумии, Фильм, 1, 2 часа 41 мин, 1, PG-13, 8.61, Отлично, 60, 574
Магистр дьявольского культа 3, ONA, 12, 24 мин, 1, R-17, 8.6, Отлично, 18, 332
Первый шаг: Восхождение, TV Сериал, 25, 22 мин, 1, PG-13, 8.59, Отлично, 9, 122
Невероятное приключение ДжоДжо: Золотой ветер, TV Сериал, 39, 23 мин, 1, R-17, 8.58, Отлично, 72, 4945
Волчьи дети Амэ и Юки, Фильм, 1, 1 час 57 мин, 1, PG-13, 8.58, Отлично, 58, 233
Тетрадь дружбы Нацумэ 5, TV Сериал, 11, 23 мин, 1, PG-13, 8.57, Отлично, 12, 218
Евангелион нового поколения: Конец Евангелиона, Фильм, 1, 1 час 26 мин, 1, R+, 8.55, Отлично, 41, 730
Рейтинг короля, TV Сериал, 23, 22 мин, 1, /, 8.55, Отлично, 45, 1641
Судьба/Начало 2, TV Сериал, 12, 24 мин, 1, R-17, 8.55, Отлично, 55, 647
Волейбол!! К вершине 2, TV Сериал, 12, 23 мин, 1, PG-13, 8.54, Отлично, 17, 507
Нана, TV Сериал, 47, 23 мин, 1, R+, 8.54, Отлично, 75, 995
Слэм-данк, TV Сериал, 101, 23 мин, 1, PG-13, 8.54, Отлично, 12, 117
Атака титанов, TV Сериал, 25, 24 мин, 1, R-17, 8.53, Отлично, 191, 8799
